State,District,Year,Season,Crop,Area,Production,Yield,crop,N,P,K,temperature,humidity,ph,rainfall
0,427,2010,2,56,1.5,1.1,0.7333333333333334,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
0,429,2010,2,56,1168.6,556.55,0.4762536368303953,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
0,559,2010,2,56,29.9,17.85,0.596989966555184,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,1997,1,29,7300.0,9400.0,1.2876712328767124,coffee,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882
1,24,1997,1,56,1300.0,500.0,0.3846153846153846,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,1997,1,95,200.0,200.0,1.0,rice,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
1,24,1998,1,29,14000.0,12900.0,0.9214285714285714,coffee,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882
1,24,1998,1,56,2100.0,1300.0,0.6190476190476191,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,1998,4,95,100.0,100.0,1.0,rice,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
1,24,1999,1,29,9453.0,10510.0,1.1118163545964244,coffee,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882
1,24,1999,1,56,1546.0,1098.0,0.7102199223803364,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,1999,2,56,1.0,1.0,1.0,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,2000,1,29,12025.0,16128.0,1.341205821205821,coffee,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882
1,24,2000,1,56,1744.0,774.0,0.4438073394495412,lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
1,24,2000,4,28,8953.0,2266.0,0.2530995197140623,coconut,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
